'local_id','name','sku','doc_quyen','manufacturer','url_key','url_path','categories','review','is_installment','stock_available_id','company_stock_id','filter','is_parent','price','prices','special_price','promotion_information','thumbnail','promotion_pack','sticker','flash_sale_types'
'101839','MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam','apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025','','Apple','apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025','apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025.html','','','0','46','46','','','31990000','','0','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/101839.png','','',''
'104395','MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB Sạc 70W | Chính hãng Apple Việt Nam','apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025-sac-70w','','Apple','apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025-sac-70w','apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025-sac-70w.html','','','0','46','46','','','27990000','','27490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/104395.png','','',''
'100664','Laptop HP 250 G9 AG2K7AT','laptop-hp-250-g9-ag2k7at','','HP','laptop-hp-250-g9-ag2k7at','laptop-hp-250-g9-ag2k7at.html','','','0','46','46','','','19190000','','14990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/100664.jpg','','',''
'94083','MacBook Pro 14 M4 10CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam','macbook-pro-14-inch-m4-16gb-512gb','','Apple','macbook-pro-14-inch-m4-16gb-512gb','macbook-pro-14-inch-m4-16gb-512gb.html','','','0','46','46','','','39990000','','39590000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/94083.png','','',''
'100339','Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00008VN','laptop-lenovo-ideapad-slim-3-14irh10-83k00008vn','','Lenovo','laptop-lenovo-ideapad-slim-3-14irh10-83k00008vn','laptop-lenovo-ideapad-slim-3-14irh10-83k00008vn.html','','','0','46','46','','','16490000','','15490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/100339.png','','',''
'70295','Laptop Acer Aspire 7 A715-76G-5806','laptop-acer-aspire-7-a715-76g-5806','','Acer','laptop-acer-aspire-7-a715-76g-5806','laptop-acer-aspire-7-a715-76g-5806.html','','','0','46','46','','','22990000','','18690000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/70295.png','','',''
'77531','Laptop Acer Gaming Aspire 5 A515-58GM-53PZ','laptop-acer-gaming-aspire-5-a515-58gm-53pz','','Acer','laptop-acer-gaming-aspire-5-a515-58gm-53pz','laptop-acer-gaming-aspire-5-a515-58gm-53pz.html','','','0','46','46','','','20490000','','15490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/77531.png','','',''
'87095','Laptop Lenovo LOQ 15ARP9 83JC007HVN','laptop-lenovo-loq-15arp9-83jc007hvn','','Lenovo','laptop-lenovo-loq-15arp9-83jc007hvn','laptop-lenovo-loq-15arp9-83jc007hvn.html','','','0','46','46','','','23490000','','19490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/87095.png','','',''
'82905','Laptop ASUS TUF Gaming F15 FX507ZC4-HN095W','laptop-asus-tuf-gaming-f15-fx507zc4-hn095w','','ASUS','laptop-asus-tuf-gaming-f15-fx507zc4-hn095w','laptop-asus-tuf-gaming-f15-fx507zc4-hn095w.html','','','0','46','46','','','24990000','','19790000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/82905.png','','',''
'86131','Laptop ASUS Gaming VivoBook K3605ZF-RP634W','laptop-asus-gaming-vivobook-k3605zf-rp634w','','ASUS','laptop-asus-gaming-vivobook-k3605zf-rp634w','laptop-asus-gaming-vivobook-k3605zf-rp634w.html','','','0','46','46','','','20990000','','16490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/86131.png','','',''
'76751','Laptop Lenovo LOQ 15IAX9 83GS000RVN','laptop-lenovo-loq-15iax9-83gs000rvn','','Lenovo','laptop-lenovo-loq-15iax9-83gs000rvn','laptop-lenovo-loq-15iax9-83gs000rvn.html','','','0','46','46','','','26990000','','24490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/76751.png','','',''
'76006','Laptop Gaming Acer Nitro V ANV15-51-72VS NH.QNASV.004','laptop-gaming-acer-nitro-v-anv15-51-72vs','','Acer','laptop-gaming-acer-nitro-v-anv15-51-72vs','laptop-gaming-acer-nitro-v-anv15-51-72vs.html','','','0','46','46','','','25990000','','19990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/76006.png','','',''
'83458','Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W','laptop-asus-vivobook-14-oled-a1405za-km264w','','ASUS','laptop-asus-vivobook-14-oled-a1405za-km264w','laptop-asus-vivobook-14-oled-a1405za-km264w.html','','','0','46','46','','','17990000','','15790000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/83458.png','','',''
'79238','Laptop ASUS Vivobook 15 X1504ZA-NJ517W','laptop-asus-vivobook-15-x1504za-nj517w','','ASUS','laptop-asus-vivobook-15-x1504za-nj517w','laptop-asus-vivobook-15-x1504za-nj517w.html','','','0','46','46','','','16490000','','13790000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/79238.png','','',''
'100468','Laptop Acer Aspire Lite 15 AL15-71P-517D','laptop-acer-aspire-lite-15-al15-71p-517d','','Acer','laptop-acer-aspire-lite-15-al15-71p-517d','laptop-acer-aspire-lite-15-al15-71p-517d.html','','','0','46','46','','','15490000','','14290000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/100468.png','','',''
'70408','Laptop HP 14-EP0112TU 8C5L1PA','laptop-hp-14-ep0112tu-8c5l1pa','','HP','laptop-hp-14-ep0112tu-8c5l1pa','laptop-hp-14-ep0112tu-8c5l1pa.html','','','0','46','46','','','19590000','','15690000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/70408.png','','',''
'94091','MacBook Pro 14 M4 Pro 12CPU 16GPU 24GB 512GB | Chính hãng Apple Việt Nam','macbook-pro-14-inch-m4-pro-24gb-512gb','','Apple','macbook-pro-14-inch-m4-pro-24gb-512gb','macbook-pro-14-inch-m4-pro-24gb-512gb.html','','','0','46','46','','','49990000','','48590000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/94091.png','','',''
'86709','Laptop Dell Inspiron 15 3520 6R6NK - Nhập khẩu chính hãng','laptop-dell-inspiron-15-3520-6r6nk','','Dell','laptop-dell-inspiron-15-3520-6r6nk','laptop-dell-inspiron-15-3520-6r6nk.html','','','0','46','46','','','14490000','','13490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/86709.png','','',''
'78296','MacBook Air M3 13 inch 2024 8CPU 8GPU 16GB - 256GB sạc 30W | Chính hãng Apple Việt Nam','macbook-air-m3-13-inch-2024-16gb-256gb','','Apple','macbook-air-m3-13-inch-2024-16gb-256gb','macbook-air-m3-13-inch-2024-16gb-256gb.html','','','0','46','46','','','27990000','','24190000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/78296.png','','',''
'63052','Laptop MSI Modern 14 C13M-608VN','laptop-msi-modern-14-c13m-608vn','','MSI','laptop-msi-modern-14-c13m-608vn','laptop-msi-modern-14-c13m-608vn.html','','','0','46','46','','','18490000','','12790000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/63052.png','','',''
'100742','Laptop HP 14-EP0220TU B73VWPA V2','laptop-hp-14-ep0220tu-b73vwpa-16gb','','HP','laptop-hp-14-ep0220tu-b73vwpa-16gb','laptop-hp-14-ep0220tu-b73vwpa-16gb.html','','','0','46','46','','','13490000','','11290000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/100742.png','','',''
'75443','Laptop Gaming Acer Nitro V ANV15-51-58AN','laptop-gaming-acer-nitro-v-anv15-51-58an','','Acer','laptop-gaming-acer-nitro-v-anv15-51-58an','laptop-gaming-acer-nitro-v-anv15-51-58an.html','','','0','46','46','','','21490000','','16990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/75443.png','','',''
'86214','Laptop ASUS TUF Gaming A15 FA506NFR-HN075W','laptop-asus-tuf-gaming-a15-fa506nfr-hn075w','','ASUS','laptop-asus-tuf-gaming-a15-fa506nfr-hn075w','laptop-asus-tuf-gaming-a15-fa506nfr-hn075w.html','','','0','46','46','','','22990000','','17490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/86214.png','','',''
'91451','Laptop ASUS TUF Gaming A15 FA506NCR-HN047W','laptop-asus-tuf-gaming-a15-fa506ncr-hn047w','','ASUS','laptop-asus-tuf-gaming-a15-fa506ncr-hn047w','laptop-asus-tuf-gaming-a15-fa506ncr-hn047w.html','','','0','46','46','','','23490000','','19490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/91451.png','','',''
'79551','Laptop ASUS Vivobook 14 OLED A1405VA-KM257W','laptop-asus-vivobook-14-oled-a1405va-km257w','','ASUS','laptop-asus-vivobook-14-oled-a1405va-km257w','laptop-asus-vivobook-14-oled-a1405va-km257w.html','','','0','46','46','','','20990000','','16990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/79551.png','','',''
'90907','Laptop Lenovo IdeaPad Slim 5 14Q8X9 83HL000KVN','laptop-lenovo-ideapad-slim-5-14q8x9-83hl000kvn','','Lenovo','laptop-lenovo-ideapad-slim-5-14q8x9-83hl000kvn','laptop-lenovo-ideapad-slim-5-14q8x9-83hl000kvn.html','','','0','46','46','','','24990000','','19490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/90907.png','','',''
'96195','MacBook Pro 14 M4 10CPU 10GPU 24GB 512GB | Chính hãng Apple Việt Nam','macbook-pro-m4-14-inch-10cpu-10gpu-24gb-512gb','','Apple','macbook-pro-m4-14-inch-10cpu-10gpu-24gb-512gb','macbook-pro-m4-14-inch-10cpu-10gpu-24gb-512gb.html','','','0','46','46','','','44990000','','44190000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/96195.png','','',''
'93960','Mac mini M4 2024 10CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam','mac-mini-m4-2024-16gb-512gb','','Apple','mac-mini-m4-2024-16gb-512gb','mac-mini-m4-2024-16gb-512gb.html','','','0','46','46','','','19990000','','18990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/93960.png','','',''
'74284','Laptop ASUS Zenbook 14 Oled UX3405MA-PP151W','laptop-asus-zenbook-14-oled-ux3405ma-pp151w','','ASUS','laptop-asus-zenbook-14-oled-ux3405ma-pp151w','laptop-asus-zenbook-14-oled-ux3405ma-pp151w.html','','','0','46','46','','','28990000','','25990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/74284.png','','',''
'88377','Laptop Dell Inspiron 15 3520 6HD73','laptop-dell-inspiron-15-3520-6hd73','','Dell','laptop-dell-inspiron-15-3520-6hd73','laptop-dell-inspiron-15-3520-6hd73.html','','','0','46','46','','','19990000','','17990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/88377.png','','',''
'100668','Laptop Lenovo IdeaPad Slim 3 15ABR8 82XM00MDVN','laptop-lenovo-ideapad-slim-3-15abr8-82xm00mdvn','','Lenovo','laptop-lenovo-ideapad-slim-3-15abr8-82xm00mdvn','laptop-lenovo-ideapad-slim-3-15abr8-82xm00mdvn.html','','','0','46','46','','','14490000','','11990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/100668.png','','',''
'75064','Laptop Dell Inspiron 15 3520-5810BLK 102F0','laptop-dell-inspiron-15-3520-5810blk-102f0','','Dell','laptop-dell-inspiron-15-3520-5810blk-102f0','laptop-dell-inspiron-15-3520-5810blk-102f0.html','','','0','46','46','','','13990000','','12490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/75064.png','','',''
'103531','Laptop Lenovo LOQ 15IAX9E 83LK0079VN','laptop-lenovo-loq-15iax9e-83lk0079vn','','Lenovo','laptop-lenovo-loq-15iax9e-83lk0079vn','laptop-lenovo-loq-15iax9e-83lk0079vn.html','','','0','46','46','','','22490000','','19990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/103531.png','','',''
'95111','MacBook Air M3 15 inch 2024 8CPU 10GPU 24GB 512GB Sạc 35W | Chính hãng Apple Việt Nam','macbook-air-15-m3-24gb-512gb-2024-35w','','Apple','macbook-air-15-m3-24gb-512gb-2024-35w','macbook-air-15-m3-24gb-512gb-2024-35w.html','','','0','46','46','','','42990000','','34990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/95111.png','','',''
'100393','Laptop Lenovo LOQ 15IRX9 83DV012LVN','laptop-lenovo-loq-15irx9-83dv012lvn','','Lenovo','laptop-lenovo-loq-15irx9-83dv012lvn','laptop-lenovo-loq-15irx9-83dv012lvn.html','','','0','46','46','','','24490000','','20990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/100393.png','','',''
'87098','Laptop Acer Aspire Lite AL16-51P-55N7 NX.KX0SV.001','laptop-acer-aspire-lite-al16-51p-55n7','','Acer','laptop-acer-aspire-lite-al16-51p-55n7','laptop-acer-aspire-lite-al16-51p-55n7.html','','','0','46','46','','','14990000','','13290000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/87098.png','','',''
'42449','Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP','laptop-gaming-acer-nitro-5-tiger-an515-58-52sp','','Acer','laptop-gaming-acer-nitro-5-tiger-an515-58-52sp','laptop-gaming-acer-nitro-5-tiger-an515-58-52sp.html','','','0','46','46','','','27990000','','18490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/42449.png','','',''
'70430','Laptop HP Pavilion 15-EG3093TU 8C5L4PA','laptop-hp-pavilion-15-eg3093tu-8c5l4pa','','HP','laptop-hp-pavilion-15-eg3093tu-8c5l4pa','laptop-hp-pavilion-15-eg3093tu-8c5l4pa.html','','','0','46','46','','','21290000','','17490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/70430.png','','',''
'88243','Laptop HP 15-FD0237TU 9Q972PA','laptop-hp-15-fd0237tu','','HP','laptop-hp-15-fd0237tu','laptop-hp-15-fd0237tu.html','','','0','46','46','','','18390000','','14990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/88243.png','','',''
'93495','Laptop HP Pavilion X360 14-EK2017TU 9Z2V5PA','laptop-hp-pavilion-x360-14-ek2017tu-9z2v5pa','','HP','laptop-hp-pavilion-x360-14-ek2017tu-9z2v5pa','laptop-hp-pavilion-x360-14-ek2017tu-9z2v5pa.html','','','0','46','46','','','24990000','','23290000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/93495.png','','',''
'100773','Laptop Gigabyte G6 KF-9RC56KF0HJJANIVN000','laptop-gigabyte-g6-kf-9rc56kf0hjjanivn000','','Gigabyte','laptop-gigabyte-g6-kf-9rc56kf0hjjanivn000','laptop-gigabyte-g6-kf-9rc56kf0hjjanivn000.html','','','0','46','46','','','30990000','','26990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/100773.png','','',''
'62665','Laptop ASUS VivoBook 14 OLED A1405VA-KM095W','laptop-asus-vivobook-14-oled-a1405va-km095w','','ASUS','laptop-asus-vivobook-14-oled-a1405va-km095w','laptop-asus-vivobook-14-oled-a1405va-km095w.html','','','0','46','46','','','20990000','','16990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/62665.png','','',''
'96212','Mac mini M4 Pro 2024 12CPU 16GPU 48GB 512GB | Chính hãng Apple Việt Nam','mac-mini-m4-pro-12cpu-16gpu-48gb-512gb-2024','','Apple','mac-mini-m4-pro-12cpu-16gpu-48gb-512gb-2024','mac-mini-m4-pro-12cpu-16gpu-48gb-512gb-2024.html','','','0','46','46','','','44990000','','43990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/96212.png','','',''
'64260','Laptop ASUS VivoBook Go 14 E1404FA-NK177W','laptop-asus-vivobook-go-14-e1404fa-nk177w','','ASUS','laptop-asus-vivobook-go-14-e1404fa-nk177w','laptop-asus-vivobook-go-14-e1404fa-nk177w.html','','','0','46','46','','','14490000','','11890000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/64260.png','','',''
'102857','Laptop ASUS Vivobook 15 X1504VA-BQ2076W','laptop-asus-vivobook-15-x1504va-bq2076w','','ASUS','laptop-asus-vivobook-15-x1504va-bq2076w','laptop-asus-vivobook-15-x1504va-bq2076w.html','','','0','46','46','','','15990000','','14790000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/102857.png','','',''
'84698','Laptop Masstel E140 Celeron','laptop-masstel-e140','','Masstel','laptop-masstel-e140','laptop-masstel-e140.html','','','0','46','46','','','7990000','','3590000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/84698.png','','',''
'99884','Laptop MSI Gaming Thin 15 B12UCX-1419VN V2','laptop-msi-gaming-thin-15-b12ucx-1419vn-16gb','','MSI','laptop-msi-gaming-thin-15-b12ucx-1419vn-16gb','laptop-msi-gaming-thin-15-b12ucx-1419vn-16gb.html','','','0','46','46','','','17990000','','15490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/99884.png','','',''
'83796','Laptop ASUS Vivobook 15 OLED A1505VA-MA469W','laptop-asus-vivobook-15-oled-a1505va-ma469w','','ASUS','laptop-asus-vivobook-15-oled-a1505va-ma469w','laptop-asus-vivobook-15-oled-a1505va-ma469w.html','','','0','46','46','','','24990000','','22490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/83796.png','','',''
'104500','Laptop Lenovo ThinkPad E14 Gen 5 21JK00PEVN','laptop-lenovo-thinkpad-e14-gen-5-21jk00pevn','','Lenovo','laptop-lenovo-thinkpad-e14-gen-5-21jk00pevn','laptop-lenovo-thinkpad-e14-gen-5-21jk00pevn.html','','','0','46','46','','','22990000','','20490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/104500.png','','',''
'97066','MacBook Pro 14 M4 Pro 14CPU 20GPU 24GB 1TB Nano | Chính hãng Apple Việt Nam','macbook-pro-m4-pro-14-inch-14cpu-20gpu-24gb-1tb-nano','','Apple','macbook-pro-m4-pro-14-inch-14cpu-20gpu-24gb-1tb-nano','macbook-pro-m4-pro-14-inch-14cpu-20gpu-24gb-1tb-nano.html','','','0','46','46','','','63790000','','63490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/97066.png','','',''
'102610','Laptop HP Victus 16-R0376TX AY8Z2PA','laptop-hp-victus-16-r0376tx-ay8z2pa','','HP','laptop-hp-victus-16-r0376tx-ay8z2pa','laptop-hp-victus-16-r0376tx-ay8z2pa.html','','','0','46','46','','','32690000','','24490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/102610.png','','',''
'101849','MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB | Chính hãng Apple Việt Nam','apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025','','Apple','apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025','apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025.html','','','0','46','46','','','31990000','','0','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/101849.png','','',''
'100372','Laptop Lenovo IdeaPad Slim 5 OLED 15ARP10 83J3002SVN','laptop-lenovo-ideapad-slim-5-15arp10-83j3002svn','','Lenovo','laptop-lenovo-ideapad-slim-5-15arp10-83j3002svn','laptop-lenovo-ideapad-slim-5-15arp10-83j3002svn.html','','','0','46','46','','','23490000','','21990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/100372.png','','',''
'86711','Laptop Dell Inspiron 15 3520-5124BLK GJ8W7 - Nhập khẩu chính hãng','laptop-dell-inspiron-15-3520-5124blk-gj8w7','','Dell','laptop-dell-inspiron-15-3520-5124blk-gj8w7','laptop-dell-inspiron-15-3520-5124blk-gj8w7.html','','','0','46','46','','','15490000','','13290000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/86711.png','','',''
'102139','Laptop ASUS Vivobook 15 X1502VA-BQ886W','laptop-asus-vivobook-15-x1502va-bq886w','','ASUS','laptop-asus-vivobook-15-x1502va-bq886w','laptop-asus-vivobook-15-x1502va-bq886w.html','','','0','46','46','','','17990000','','16590000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/102139.png','','',''
'93961','Mac mini M4 2024 10CPU 10GPU 24GB 512GB | Chính hãng Apple Việt Nam','mac-mini-m4-2024-24gb-512gb','','Apple','mac-mini-m4-2024-24gb-512gb','mac-mini-m4-2024-24gb-512gb.html','','','0','46','46','','','24990000','','24790000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/93961.png','','',''
